"state","old_population","white_population","car_commute","local_workers","bachelor_degree","renter_occupied","median_income","health_insurance","below_poverty","internet_household","fips_code"
"Alabama",1.14375184460774,66.8028633314491,39.5324625951067,31.2511717948846,11.2778041789432,30.6052129735263,54943,98.4459773794815,15.403542647331,82.4098796468492,"01"
"Alaska",1.19206305854602,62.3030609374809,37.7253376923192,44.2673493208108,12.5947243770305,34.2929294867613,80287,96.3974503737341,10.1930699190571,88.6326042654119,"02"
"Arizona",1.07666074839216,70.4278292344491,37.1245322390105,42.3386078913121,13.0429795557494,34.2045650604776,65913,98.5493988518199,13.2064442847592,88.4361688609558,"04"
"Arkansas",1.11931275194932,74.0782135169738,39.4103866235972,32.2671754633339,10.4289678805472,33.9384182449113,52123,98.3189020157276,15.5710208099034,79.9892961345234,"05"
"California",0.986482113086151,52.0936462030893,36.953474982216,38.7058481012703,14.8405287363669,44.503882932935,84097,98.7099950670825,12.0165570436032,90.5798759319591,"06"
"Colorado",1.07057689646448,78.757808601378,40.7441602355056,35.3731739160215,18.3643312734048,33.8647229807732,80184,98.3634261815468,9.36500991757024,91.1579886639269,"08"
"Connecticut",1.10858090660217,72.0012869834384,40.6270993223921,37.0006074339936,15.5760221671803,33.7660413762306,83572,98.6537709446847,9.74878859910188,89.120418743255,"09"
"Delaware",1.22946311814334,65.7311598424267,39.701820566824,36.9190297914638,13.6727868238055,28.5129507710635,72724,98.4058328207175,11.128922529158,89.4591140838159,"10"
"District of Columbia",0.782400454363145,40.4554463561657,19.2239231564186,42.8063072162353,18.1928232872822,58.4913448391507,93547,98.6186130799205,14.7284506860825,87.2655625209607,"11"
"Florida",1.18581453720056,67.7093633940247,38.6694800063843,36.9130264901736,14.2377079931819,33.5496885044536,61777,98.5353116871688,12.8614930194629,87.4096099011697,"12"
"Georgia",0.95560586375471,55.8549411022327,39.4307717717986,27.8816802603896,13.4243053225625,35.4791859001367,65030,98.2392830909081,13.5648713039198,86.3588831027976,"13"
"Hawaii",1.17200023667043,23.6873390950658,39.2883925536877,48.1941495619533,15.5761480235955,39.0037478078564,88005,95.9885049721431,9.20125105091304,88.9173162100528,"15"
"Idaho",1.17017007457978,86.541415762824,39.6588241333571,36.6897638960111,12.7653361610097,28.316042739244,63377,98.7920736005458,11.1811712961404,88.4238496060727,"16"
"Illinois",1.07827964734784,67.8485406081028,37.3276540532918,35.8059269777215,14.902393288687,33.4857527653235,72563,98.6354815812709,11.569175123674,87.1489608549659,"17"
"Indiana",1.09403466571081,81.2178915593053,41.9986254580572,32.0833790032793,11.8195350848869,30.1474757311539,61944,98.5849327689022,12.1309991794222,85.5055343912398,"18"
"Iowa",1.16995744065126,87.9282750724264,43.5110361770192,37.9052810709983,13.3324945188718,28.4447050026922,65429,98.7179350065585,10.6852904447499,85.3084858996797,"19"
"Kansas",1.10521506947753,81.4012760142137,43.2487443295741,37.5509148906636,14.160538235578,33.4020625792945,64521,98.0682780492746,11.1595481598677,86.7475683007849,"20"
"Kentucky",1.11527430937303,85.4976067729072,39.2107190228344,30.0897101359303,10.2765133537199,32.2093824618596,55454,98.2689239167173,15.7792111996486,83.8881310856604,"21"
"Louisiana",1.06767755171714,60.2467521452857,38.4790130773054,29.7936467549366,10.9816084624048,33.3295590751466,53571,97.8050396098173,18.2613335394611,81.3161638897276,"22"
"Maine",1.45521964620212,92.9295690787195,41.3543092864943,38.2502140679093,15.4197425879447,26.6239861031338,63182,98.8928157188482,10.758073049845,86.5440651135424,"23"
"Maryland",1.04362902117493,52.673778918427,39.2161722814097,28.97496887475,15.191171244579,32.714153085731,91431,98.3919772889358,8.94640927243763,89.9176208554355,"24"
"Massachusetts",1.10075270471972,74.5396784714551,37.5113346220715,35.0637570703728,17.3908000340968,37.5782111132724,89026,99.0053136136177,9.56513381576155,89.7456499442981,"25"
"Michigan",1.2134842671492,76.6736079420328,39.7720966693009,32.1709827526168,12.7985536812279,27.8127073783504,63202,98.9761701650641,13.0191944118924,86.6785994217861,"26"
"Minnesota",1.11429877442301,80.7121170865494,42.1033204995986,33.9217793509958,16.6608881941397,27.7376071060069,77706,99.0176479136128,9.03473291112274,88.9560360683684,"27"
"Mississippi",1.07767954613092,57.3635256619177,38.5474935650988,26.0716886926728,9.44903359360544,31.0782288688248,49111,97.8122852434915,18.776767150103,78.220299999098,"28"
"Missouri",1.13409776775639,80.2806920876771,41.4475113220899,31.4296721307738,12.8625356466316,32.3929593778338,61043,98.2812437413845,12.4076981418649,85.3595932976117,"29"
"Montana",1.33193812860745,87.0354497030552,40.1662186055745,43.9497837618207,15.4757332709944,30.942927641753,60560,98.6657427146009,12.1998779195865,85.8248125347953,"30"
"Nebraska",1.12427490929961,83.5456166601759,45.1707422059155,40.3432779223974,14.0746510340869,33.2374913122794,66644,98.5849714063173,10.0157316498247,87.6199492232884,"31"
"Nevada",1.09301728077384,58.825138809076,39.4529945038601,43.5040359723565,11.7579279546083,42.2330360645631,65686,98.7971841353958,12.7095047851785,87.5008756935493,"32"
